statistic,year,sex,age,unit,value
Median Annual Earnings,2012,Female,25 - 29 years,Euro,26720
Median Annual Earnings,2012,Female,30 - 39 years,Euro,34265
Median Annual Earnings,2012,Female,40 - 49 years,Euro,31526
Median Annual Earnings,2012,Female,50 - 59 years,Euro,29688
Median Annual Earnings,2012,Female,60 years and over,Euro,19350
Median Annual Earnings,2013,Male,15 - 24 years,Euro,17239
Median Annual Earnings,2013,Male,15 years and over,Euro,36907
Median Annual Earnings,2013,Male,25 - 29 years,Euro,27771
Median Annual Earnings,2013,Male,30 - 39 years,Euro,37101
Median Annual Earnings,2013,Male,40 - 49 years,Euro,44517
Median Annual Earnings,2013,Male,50 - 59 years,Euro,44120
Median Annual Earnings,2013,Male,60 years and over,Euro,32462
Median Annual Earnings,2013,Female,15 - 24 years,Euro,14842
Median Annual Earnings,2013,Female,15 years and over,Euro,29526
Median Annual Earnings,2013,Female,25 - 29 years,Euro,26337
Median Annual Earnings,2013,Female,30 - 39 years,Euro,34154
Median Annual Earnings,2013,Female,40 - 49 years,Euro,32163
Median Annual Earnings,2013,Female,50 - 59 years,Euro,30021
Median Annual Earnings,2013,Female,60 years and over,Euro,19959
Median Annual Earnings,2014,Male,15 - 24 years,Euro,17648
Median Annual Earnings,2014,Male,15 years and over,Euro,36999
Median Annual Earnings,2014,Male,25 - 29 years,Euro,28137
Median Annual Earnings,2014,Male,30 - 39 years,Euro,36977
Median Annual Earnings,2014,Male,40 - 49 years,Euro,44601
Median Annual Earnings,2014,Male,50 - 59 years,Euro,44131
Median Annual Earnings,2014,Male,60 years and over,Euro,33094
Median Annual Earnings,2014,Female,15 - 24 years,Euro,15128
Median Annual Earnings,2014,Female,15 years and over,Euro,29857
Median Annual Earnings,2014,Female,25 - 29 years,Euro,26414
Median Annual Earnings,2014,Female,30 - 39 years,Euro,34031
Median Annual Earnings,2014,Female,40 - 49 years,Euro,32838
Median Annual Earnings,2014,Female,50 - 59 years,Euro,30576
Median Annual Earnings,2014,Female,60 years and over,Euro,20700
Median Annual Earnings,2015,Male,15 - 24 years,Euro,18178
Median Annual Earnings,2015,Male,15 years and over,Euro,37038
Median Annual Earnings,2015,Male,25 - 29 years,Euro,28632
Median Annual Earnings,2015,Male,30 - 39 years,Euro,37010
Median Annual Earnings,2015,Male,40 - 49 years,Euro,44436
